state,mean_overall_stars,official_rank,outcome_composite,outcome_rank,rank_divergence
NT,4.0,1.0,0.0434484316493547,3.0,-2.0
TAS,3.967741935483871,2.0,0.13381070122856262,1.0,1.0
ACT,3.92,3.0,0.007471107207056467,4.0,-1.0
QLD,3.8958333333333335,4.0,0.004376866450957403,5.0,-1.0
NSW,3.8840782122905027,5.0,0.07660102281016005,2.0,3.0
VIC,3.839464882943144,6.0,-0.05093753025598751,7.0,-1.0
WA,3.6769911504424777,7.0,-0.12012230735777514,8.0,-1.0
SA,3.6698564593301435,8.0,-0.03084588461416533,6.0,2.0
