facility_key,service_name,state,provider_type,size,overall_stars,outcome_composite,predicted_outcome,residual,rating_classification,is_statistical_outlier,quality_measures_stars,compliance_stars,persistent_food_failure,high_compliance_dignity_gap,adequately_staffed_poor_outcomes,understaffed_good_outcomes,five_star_low_qm,is_hidden_champion
Latrobe Valley Village Hostel | LATROBE VALLEY VILLAGE INC.,Latrobe Valley Village Hostel,VIC,Not for Profit,Medium,4.0,-0.24780561027021175,0.0435760823187199,-0.29138169258893165,Aligned,False,2.0,5.0,False,False,True,False,False,False
mecwacare O'Mara House | MECWA Limited,mecwacare O'Mara House,VIC,Not for Profit,Small,4.0,0.06482900955021259,0.0435760823187199,0.02125292723149269,Aligned,False,4.0,5.0,False,False,False,False,False,False
Regis East Malvern | Regis Aged Care Pty Ltd,Regis East Malvern,VIC,Private for Profit,Large,3.0,0.015181038164431079,-0.1719882124381784,0.1871692506026095,Aligned,False,2.0,5.0,True,True,False,False,False,False
Mitchell House | Respect Group Limited,Mitchell House,VIC,Not for Profit,Small,4.0,-0.3112818790792994,0.0435760823187199,-0.3548579613980193,Aligned,False,3.0,5.0,False,True,False,False,False,False
Villa Maria Catholic Homes John R Hannah Aged Care Residence | Villa Maria Catholic Homes Limited,Villa Maria Catholic Homes John R Hannah Aged Care Residence,VIC,Not for Profit,Medium,4.0,0.48636858890620566,0.0435760823187199,0.44279250658748576,Aligned,False,5.0,5.0,False,False,False,False,False,False
Coates | Respect Group Limited,Coates,VIC,Not for Profit,Small,4.0,0.6975438162275059,0.0435760823187199,0.653967733908786,Potentially under-rated,False,5.0,5.0,False,False,False,True,False,False
The Views at Heidelberg | Anglican Aged Care Services Group,The Views at Heidelberg,VIC,Not for Profit,Large,3.0,0.4287413599901862,-0.1719882124381784,0.6007295724283646,Potentially under-rated,False,4.0,4.0,False,False,False,False,False,True
Prom Country Aged Care | Prom Country Aged Care Inc,Prom Country Aged Care,VIC,Not for Profit,Medium,3.0,-0.4382536454520718,-0.1719882124381784,-0.2662654330138934,Aligned,False,3.0,5.0,False,False,False,False,False,False
Bolton Clarke Glendale (VIC) | RSL Care RDNS Limited,Bolton Clarke Glendale (VIC),VIC,Not for Profit,Large,4.0,0.29566452772172946,0.0435760823187199,0.25208844540300956,Aligned,False,3.0,5.0,False,False,False,False,False,False
Benetas Corowa Court | Anglican Aged Care Services Group,Benetas Corowa Court,VIC,Not for Profit,Large,4.0,0.6112207326986612,0.0435760823187199,0.5676446503799413,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Lionsbrae Hostel | Ringwood Area Lions Aged Care Inc,Lionsbrae Hostel,VIC,Not for Profit,Medium,4.0,0.10618423889789942,0.0435760823187199,0.06260815657917952,Aligned,False,3.0,5.0,False,True,False,False,False,False
Cumberland View Aged Care - Whalley Drive | Tingari Group Pty Ltd,Cumberland View Aged Care - Whalley Drive,VIC,Private for Profit,Large,3.0,0.0326338543778986,-0.1719882124381784,0.204622066816077,Aligned,False,3.0,4.0,False,False,False,False,False,False
Corpus Christi Community | Villa Maria Catholic Homes Limited,Corpus Christi Community,VIC,Not for Profit,Medium,3.0,0.20949798776748815,-0.1719882124381784,0.3814862002056666,Aligned,False,3.0,4.0,False,False,False,False,False,False
Elderly Chinese Home | ELDERLY CHINESE HOME INC.,Elderly Chinese Home,VIC,Not for Profit,Small,4.0,0.20435584466982284,0.0435760823187199,0.16077976235110295,Aligned,False,3.0,5.0,False,True,False,False,False,False
Regis Alawarra Lodge | Regis Aged Care Pty Ltd,Regis Alawarra Lodge,VIC,Private for Profit,Medium,4.0,0.1582753480711159,0.0435760823187199,0.114699265752396,Aligned,False,4.0,5.0,True,True,False,False,False,False
St Basil's Homes for the Aged in Victoria | St Basil's Homes for the Aged in Victoria,St Basil's Homes for the Aged in Victoria,VIC,Not for Profit,Medium,4.0,0.2791734571609203,0.0435760823187199,0.2355973748422004,Aligned,False,3.0,5.0,False,False,False,False,False,False
mecwacare Vincent House | MECWA Limited,mecwacare Vincent House,VIC,Not for Profit,Small,5.0,-0.20223948256118876,0.2591403770756181,-0.46137985963680683,Potentially over-rated,False,5.0,5.0,False,False,False,False,False,False
Napier Street Aged Care Services | One Hundred & Seventy Nine Napier St Hostel Assoc Inc,Napier Street Aged Care Services,VIC,Not for Profit,Small,4.0,0.7675675665121977,0.0435760823187199,0.7239914841934778,Potentially under-rated,False,5.0,5.0,False,True,False,False,False,False
Sacred Heart Community | Sacred Heart Mission Inc,Sacred Heart Community,VIC,Not for Profit,Medium,4.0,0.638389934373704,0.0435760823187199,0.594813852054984,Potentially under-rated,False,4.0,5.0,False,True,False,False,False,False
Westmont Homestead | Westmont Aged Care Services Limited,Westmont Homestead,VIC,Not for Profit,Large,1.0,0.0029707866366421865,-0.6031168019519749,0.6060875885886171,Potentially under-rated,False,3.0,1.0,False,False,False,False,False,False
Benetas St Laurence Court - Kangaroo Flat | Anglican Aged Care Services Group,Benetas St Laurence Court - Kangaroo Flat,VIC,Not for Profit,Small,3.0,-0.42391676827705876,-0.1719882124381784,-0.25192855583888035,Aligned,False,3.0,5.0,False,False,False,False,False,False
Kalyna Care | Ukrainian Elderly People's Home,Kalyna Care,VIC,Not for Profit,Large,4.0,-0.27548100274667026,0.0435760823187199,-0.31905708506539016,Aligned,False,2.0,5.0,False,False,True,False,False,False
Aberlea Inc | Aberlea Inc,Aberlea Inc,VIC,Not for Profit,Small,5.0,0.39981585052141444,0.2591403770756181,0.14067547344579634,Aligned,False,5.0,5.0,False,False,False,False,False,False
MiCare Avondrust Lodge | MiCare Ltd,MiCare Avondrust Lodge,VIC,Not for Profit,Large,4.0,0.08705513721246338,0.0435760823187199,0.043479054893743485,Aligned,False,3.0,5.0,False,True,False,False,False,False
Carshalton House Hostel | Bendigo Health Care Group,Carshalton House Hostel,VIC,Government,Small,4.0,-0.6968383975860641,0.0435760823187199,-0.740414479904784,Potentially over-rated,False,3.0,5.0,False,False,False,False,False,False
Wintringham Williamstown Hostel | WINTRINGHAM LIMITED,Wintringham Williamstown Hostel,VIC,Not for Profit,Small,4.0,-0.5013489576923048,0.0435760823187199,-0.5449250400110247,Potentially over-rated,False,4.0,5.0,False,False,False,True,False,False
Arpad Aged Care | Arpad Elderly Welfare Society Inc,Arpad Aged Care,VIC,Not for Profit,Small,4.0,-0.4257484825833735,0.0435760823187199,-0.4693245649020934,Potentially over-rated,False,2.0,5.0,False,False,True,False,False,False
Bolton Clarke Tannoch Brae | RSL Care RDNS Limited,Bolton Clarke Tannoch Brae,VIC,Not for Profit,Small,5.0,0.35410309248454125,0.2591403770756181,0.09496271540892315,Aligned,False,4.0,5.0,False,False,False,False,False,False
The Bays Aged Care Facility | APOLLO CARE OPERATIONS PTY LIMITED,The Bays Aged Care Facility,VIC,Private for Profit,Medium,4.0,0.017921483487250617,0.0435760823187199,-0.025654598831469283,Aligned,False,3.0,4.0,False,False,False,False,False,False
Outlook Gardens Aged Care | Association for Christian Senior Citizens Homes Inc,Outlook Gardens Aged Care,VIC,Not for Profit,Medium,4.0,-0.059040504985938075,0.0435760823187199,-0.10261658730465797,Aligned,False,4.0,5.0,False,False,False,False,False,False
Garden View Court Hostel | East Grampians Health Service,Garden View Court Hostel,VIC,Government,Small,4.0,-0.343545724077226,0.0435760823187199,-0.3871218063959459,Aligned,False,3.0,5.0,False,False,False,False,False,False
Mekong Vietnamese Aged Care | Indochinese Elderly Refugees Association Victoria Inc,Mekong Vietnamese Aged Care,VIC,Not for Profit,Medium,4.0,0.7362617566450543,0.0435760823187199,0.6926856743263344,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Havilah Hostel | Havilah Hostel Inc,Havilah Hostel,VIC,Not for Profit,Medium,3.0,-0.3164355590154491,-0.1719882124381784,-0.1444473465772707,Aligned,False,1.0,4.0,False,False,False,False,False,False
Mercy Place Dandenong | Mercy Aged and Community Care Ltd,Mercy Place Dandenong,VIC,Not for Profit,Large,4.0,0.1466184610398455,0.0435760823187199,0.1030423787211256,Aligned,False,3.0,5.0,True,True,False,False,False,False
MiCare Overbeek Lodge | MiCare Ltd,MiCare Overbeek Lodge,VIC,Not for Profit,Small,4.0,0.9481807630929202,0.0435760823187199,0.9046046807742003,Potentially under-rated,False,5.0,5.0,True,True,False,False,False,False
Polish Retirement Home | Australian-Polish Benevolent Association of Victoria Inc,Polish Retirement Home,VIC,Not for Profit,Small,5.0,0.9424302677954323,0.2591403770756181,0.6832898907198142,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
