year,facility_key,service_name,provider_name,service_suburb,provider_type,state,planning_region,remoteness,size,overall_stars,residents_experience_stars,compliance_stars,staffing_stars,quality_measures_stars
2025,Jack Lonsdale Lodge | Grampians Health,Jack Lonsdale Lodge,Grampians Health,SEBASTOPOL,Government,VIC,Grampians,Regional centres,Small,4.0,4.0,5.0,5.0,3.0
2025,Jallarah Homes | Jallarah Homes Inc,Jallarah Homes,Jallarah Homes Inc,MENINGIE,Not for Profit,SA,"Hills, Mallee & Southern",Small rural towns,Small,4.0,4.0,4.0,4.0,2.0
2025,James Barker House | The Salvation Army (Victoria) Property Trust,James Barker House,The Salvation Army (Victoria) Property Trust,FOOTSCRAY,Not for Profit,VIC,Western Metro,Metropolitan,Large,4.0,3.0,5.0,3.0,3.0
2025,James Grimes Care Centre | Sundale Ltd,James Grimes Care Centre,Sundale Ltd,NAMBOUR,Not for Profit,QLD,Sunshine Coast,Metropolitan,Medium,4.0,4.0,5.0,3.0,3.0
2025,James Milson Village North Sydney | North Sydney Retirement Trust,James Milson Village North Sydney,North Sydney Retirement Trust,NORTH SYDNEY,Not for Profit,NSW,Northern Sydney,Metropolitan,Large,4.0,4.0,4.0,4.0,5.0
2025,James Milson Village Woolwich | North Sydney Retirement Trust,James Milson Village Woolwich,North Sydney Retirement Trust,WOOLWICH,Not for Profit,NSW,Northern Sydney,Metropolitan,Small,4.0,3.0,5.0,4.0,4.0
2025,James Thomas Court | Grampians Health,James Thomas Court,Grampians Health,SEBASTOPOL,Government,VIC,Grampians,Regional centres,Small,4.0,3.0,4.0,5.0,3.0
2025,James Watson Centre | St Bartholomew's House Inc,James Watson Centre,St Bartholomew's House Inc,EAST PERTH,Not for Profit,WA,Metropolitan East,Metropolitan,Small,4.0,4.0,4.0,3.0,3.0
2025,Jamestown Hospital and Health Service | Yorke and Northern Local Health Network Incorporated,Jamestown Hospital and Health Service,Yorke and Northern Local Health Network Incorporated,JAMESTOWN,Government,SA,Mid North,Small rural towns,Small,4.0,4.0,5.0,5.0,3.0
2025,Janoah Gardens | Bethany Christian Care,Janoah Gardens,Bethany Christian Care,MANLY WEST,Not for Profit,QLD,Brisbane South,Metropolitan,Small,4.0,3.0,5.0,3.0,3.0
2025,Jeparit & District Nursing Home | West Wimmera Health Service,Jeparit & District Nursing Home,West Wimmera Health Service,JEPARIT,Government,VIC,Grampians,Small rural towns,Small,4.0,4.0,5.0,5.0,3.0
2025,Jeremiah Donovan House | Southern Cross Care (WA) Inc,Jeremiah Donovan House,Southern Cross Care (WA) Inc,FORRESTFIELD,Not for Profit,WA,Metropolitan East,Metropolitan,Small,4.0,3.0,5.0,2.0,4.0
2025,Jesmond Aged Care | Jesmond Aged Care Pty Ltd,Jesmond Aged Care,Jesmond Aged Care Pty Ltd,STRATHFIELD,Private for Profit,NSW,Inner West,Metropolitan,Medium,4.0,4.0,5.0,2.0,4.0
2025,Jewish Care (VIC) Inc Residential Homes Carnegie | Jewish Care (Victoria) Inc,Jewish Care (VIC) Inc Residential Homes Carnegie,Jewish Care (Victoria) Inc,CARNEGIE,Not for Profit,VIC,Southern Metro,Metropolitan,Large,4.0,3.0,5.0,3.0,5.0
2025,"Jewish Care (Vic) Inc. Residential Homes, Windsor | Jewish Care (Victoria) Inc","Jewish Care (Vic) Inc. Residential Homes, Windsor",Jewish Care (Victoria) Inc,MELBOURNE,Not for Profit,VIC,Southern Metro,Metropolitan,Large,3.0,3.0,4.0,3.0,3.0
2025,Jimbelunga Nursing Centre | Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,Jimbelunga Nursing Centre,Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,EAGLEBY,Not for Profit,QLD,Logan River Valley,Metropolitan,Medium,4.0,3.0,5.0,4.0,5.0
2025,Jimboomba Community Aged Care | Luson Aged Care Pty Ltd,Jimboomba Community Aged Care,Luson Aged Care Pty Ltd,JIMBOOMBA,Not for Profit,QLD,Logan River Valley,Regional centres,Large,,4.0,,,
2025,Jindalee Aged Care Residence | Johnson Village Services Pty Ltd,Jindalee Aged Care Residence,Johnson Village Services Pty Ltd,NARRABUNDAH,Private for Profit,ACT,ACT,Metropolitan,Large,4.0,4.0,4.0,4.0,3.0
2025,Jindera Gardens Hostel | United Protestant Association of NSW Limited,Jindera Gardens Hostel,United Protestant Association of NSW Limited,JINDERA,Not for Profit,NSW,Riverina/Murray,Regional centres,Small,5.0,4.0,5.0,5.0,4.0
2025,John Curtin Aged Care | John Curtin Aged Care Inc,John Curtin Aged Care,John Curtin Aged Care Inc,CRESWICK,Not for Profit,VIC,Grampians,Regional centres,Small,4.0,4.0,5.0,2.0,2.0
2025,John Edmondson VC Gardens | RSL LifeCare Limited,John Edmondson VC Gardens,RSL LifeCare Limited,AUSTRAL,Not for Profit,NSW,South West Sydney,Metropolitan,Medium,4.0,4.0,5.0,3.0,4.0
2025,John Flynn Retirement Village | Ryman Aged Care (Australia) Pty Ltd,John Flynn Retirement Village,Ryman Aged Care (Australia) Pty Ltd,BURWOOD EAST,Private for Profit,VIC,Eastern Metro,Metropolitan,Large,4.0,3.0,5.0,3.0,4.0
2025,John Goodlet Manor | RSL LifeCare Limited,John Goodlet Manor,RSL LifeCare Limited,THIRLMERE,Not for Profit,NSW,South West Sydney,Small rural towns,Medium,3.0,3.0,4.0,2.0,3.0
2025,John Paul II Village Residential Care | Southern Cross Care (SA NT & VIC) Incorporated,John Paul II Village Residential Care,Southern Cross Care (SA NT & VIC) Incorporated,KLEMZIG,Not for Profit,SA,Metropolitan North,Metropolitan,Small,4.0,4.0,5.0,4.0,4.0
2025,Johnson-Goodwin Memorial Homes | Johnson-Goodwin Memorial Homes,Johnson-Goodwin Memorial Homes,Johnson-Goodwin Memorial Homes,DONALD,Not for Profit,VIC,Loddon-Mallee,Small rural towns,Small,4.0,4.0,5.0,4.0,4.0
2025,Jonathan Rogers GC House | RSL LifeCare Limited,Jonathan Rogers GC House,RSL LifeCare Limited,NOWRA,Not for Profit,NSW,Illawarra,Large rural towns,Medium,4.0,4.0,4.0,3.0,3.0
2025,Joseph Banks Aged Care Facility | Retirees WA (Inc),Joseph Banks Aged Care Facility,Retirees WA (Inc),CANNING VALE,Not for Profit,WA,Metropolitan South East,Metropolitan,Medium,4.0,3.0,5.0,4.0,4.0
2025,Joseph Cooke House | Southern Cross Care (WA) Inc,Joseph Cooke House,Southern Cross Care (WA) Inc,SHELLEY,Not for Profit,WA,Metropolitan South East,Metropolitan,Small,3.0,3.0,4.0,2.0,5.0
2025,Joslin Manor Care Community | DPG Services Pty Ltd,Joslin Manor Care Community,DPG Services Pty Ltd,JOSLIN,Private for Profit,SA,Metropolitan East,Metropolitan,Medium,3.0,3.0,4.0,3.0,3.0
2025,Juliana Village | Juliana Village Association Ltd,Juliana Village,Juliana Village Association Ltd,MIRANDA,Not for Profit,NSW,South East Sydney,Metropolitan,Medium,4.0,5.0,5.0,3.0,4.0
2025,Juninga Centre | Australian Regional and Remote Community Services Limited,Juninga Centre,Australian Regional and Remote Community Services Limited,NIGHTCLIFF,Not for Profit,NT,Darwin,Regional centres,Small,4.0,3.0,5.0,4.0,4.0
2025,Juniper Annesley | Uniting Church Homes,Juniper Annesley,Uniting Church Homes,BENTLEY,Not for Profit,WA,Metropolitan South East,Metropolitan,Medium,3.0,3.0,3.0,3.0,3.0
2025,Juniper Bethavon | Uniting Church Homes,Juniper Bethavon,Uniting Church Homes,NORTHAM,Not for Profit,WA,Wheatbelt,Medium rural towns,Small,4.0,4.0,4.0,5.0,4.0
2025,Juniper Bethshan | Uniting Church Homes,Juniper Bethshan,Uniting Church Homes,KATANNING,Not for Profit,WA,Great Southern,Small rural towns,Small,4.0,4.0,5.0,5.0,3.0
2025,Juniper Carramar | Uniting Church Homes,Juniper Carramar,Uniting Church Homes,MORLEY,Not for Profit,WA,Metropolitan East,Metropolitan,Small,3.0,3.0,4.0,3.0,3.0
2025,Juniper Chrystal Halliday | Uniting Church Homes,Juniper Chrystal Halliday,Uniting Church Homes,KARRINYUP,Not for Profit,WA,Metropolitan North,Metropolitan,Large,3.0,3.0,5.0,3.0,2.0
2025,Juniper Cygnet | Uniting Church Homes,Juniper Cygnet,Uniting Church Homes,BENTLEY,Not for Profit,WA,Metropolitan South East,Metropolitan,Small,4.0,4.0,5.0,3.0,3.0
2025,Juniper Elimatta | Uniting Church Homes,Juniper Elimatta,Uniting Church Homes,MENORA,Not for Profit,WA,Metropolitan North,Metropolitan,Small,3.0,3.0,4.0,3.0,2.0
2025,Juniper Ella Williams | Uniting Church Homes,Juniper Ella Williams,Uniting Church Homes,NORANDA,Not for Profit,WA,Metropolitan East,Metropolitan,Medium,3.0,2.0,5.0,3.0,3.0
2025,Juniper Gerdewoonem | Uniting Church Homes,Juniper Gerdewoonem,Uniting Church Homes,KUNUNURRA,Not for Profit,WA,Kimberley,Very remote communities,Small,4.0,3.0,5.0,3.0,3.0
2025,Juniper Hayloft | Uniting Church Homes,Juniper Hayloft,Uniting Church Homes,MARTIN,Not for Profit,WA,Metropolitan South East,Metropolitan,Medium,4.0,3.0,5.0,4.0,3.0
2025,Juniper Hillcrest | Uniting Church Homes,Juniper Hillcrest,Uniting Church Homes,GERALDTON,Not for Profit,WA,Mid West,Large rural towns,Medium,4.0,4.0,5.0,4.0,1.0
2025,Juniper Hilltop | Uniting Church Homes,Juniper Hilltop,Uniting Church Homes,BENTLEY,Not for Profit,WA,Metropolitan South East,Metropolitan,Small,4.0,3.0,5.0,3.0,3.0
2025,Juniper John Bryant | Uniting Church Homes,Juniper John Bryant,Uniting Church Homes,MARANGAROO,Not for Profit,WA,Metropolitan North,Metropolitan,Small,3.0,3.0,4.0,3.0,3.0
2025,Juniper Karinya | Uniting Church Homes,Juniper Karinya,Uniting Church Homes,EMBLETON,Not for Profit,WA,Metropolitan East,Metropolitan,Medium,3.0,3.0,4.0,3.0,2.0
2025,Juniper Korumup | Uniting Church Homes,Juniper Korumup,Uniting Church Homes,LOCKYER,Not for Profit,WA,Great Southern,Large rural towns,Medium,4.0,4.0,5.0,5.0,1.0
2025,Juniper Numbala Nunga | Uniting Church Homes,Juniper Numbala Nunga,Uniting Church Homes,DERBY,Not for Profit,WA,Kimberley,Very remote communities,Small,4.0,3.0,4.0,5.0,4.0
2025,Juniper Riverslea | Uniting Church Homes,Juniper Riverslea,Uniting Church Homes,MOUNT LAWLEY,Not for Profit,WA,Metropolitan East,Metropolitan,Small,4.0,4.0,5.0,3.0,3.0
2025,Juniper Sarah Hardey | Uniting Church Homes,Juniper Sarah Hardey,Uniting Church Homes,KELMSCOTT,Not for Profit,WA,Metropolitan South East,Metropolitan,Medium,4.0,3.0,5.0,3.0,3.0
2025,Juniper St David's | Uniting Church Homes,Juniper St David's,Uniting Church Homes,MOUNT LAWLEY,Not for Profit,WA,Metropolitan East,Metropolitan,Small,4.0,3.0,5.0,3.0,4.0
2025,Juniper The Residency | Uniting Church Homes,Juniper The Residency,Uniting Church Homes,NORTHAM,Not for Profit,WA,Wheatbelt,Medium rural towns,Small,4.0,4.0,4.0,4.0,1.0
2025,Juniper Trinity | Uniting Church Homes,Juniper Trinity,Uniting Church Homes,BENTLEY,Not for Profit,WA,Metropolitan South East,Metropolitan,Small,4.0,4.0,5.0,4.0,4.0
2025,Juniper Waratah Lodge | Uniting Church Homes,Juniper Waratah Lodge,Uniting Church Homes,WAGIN,Not for Profit,WA,Wheatbelt,Small rural towns,Small,4.0,4.0,4.0,5.0,5.0
2025,Kabara Aged Care | NoosaCare Inc,Kabara Aged Care,NoosaCare Inc,COOROY,Not for Profit,QLD,Sunshine Coast,Regional centres,Medium,3.0,3.0,5.0,2.0,3.0
2025,Kadimah Nursing Home | Killarney Memorial Aged Care Ltd,Kadimah Nursing Home,Killarney Memorial Aged Care Ltd,KILLARNEY,Not for Profit,QLD,Darling Downs,Small rural towns,Small,4.0,3.0,4.0,5.0,5.0
2025,Kalkarni Residency | BaptistCare NSW & ACT,Kalkarni Residency,BaptistCare NSW & ACT,BROOKTON,Not for Profit,WA,Wheatbelt,Small rural towns,Small,4.0,4.0,4.0,2.0,4.0
2025,Kaloma Home for the Aged | Kaloma Home for the Aged Limited,Kaloma Home for the Aged,Kaloma Home for the Aged Limited,GOONDIWINDI,Not for Profit,QLD,Darling Downs,Medium rural towns,Medium,,4.0,5.0,3.0,
2025,Kalyna Care | Ukrainian Elderly People's Home,Kalyna Care,Ukrainian Elderly People's Home,DELAHEY,Not for Profit,VIC,Western Metro,Metropolitan,Large,4.0,4.0,5.0,3.0,3.0
2025,Kalyra Belair Aged Care | James Brown Memorial Trust,Kalyra Belair Aged Care,James Brown Memorial Trust,BELAIR,Not for Profit,SA,Metropolitan South,Metropolitan,Medium,4.0,4.0,5.0,3.0,3.0
2025,Kalyra McLaren Vale Aged Care | James Brown Memorial Trust,Kalyra McLaren Vale Aged Care,James Brown Memorial Trust,MCLAREN VALE,Not for Profit,SA,Metropolitan South,Metropolitan,Small,5.0,5.0,5.0,3.0,5.0
2025,Kalyra Woodcroft Aged Care | James Brown Memorial Trust,Kalyra Woodcroft Aged Care,James Brown Memorial Trust,MORPHETT VALE,Not for Profit,SA,Metropolitan South,Metropolitan,Medium,3.0,3.0,5.0,3.0,2.0
2025,Kanandah Hostel | Kanandah Retirement Ltd,Kanandah Hostel,Kanandah Retirement Ltd,MUDGEE,Not for Profit,NSW,Orana Far West,Medium rural towns,Medium,,4.0,4.0,,3.0
2025,Kanangra Hostel | Aged Care Deloraine Inc,Kanangra Hostel,Aged Care Deloraine Inc,DELORAINE,Not for Profit,TAS,Northern,Small rural towns,Small,4.0,4.0,4.0,4.0,5.0
2025,Kaniva Hostel | West Wimmera Health Service,Kaniva Hostel,West Wimmera Health Service,KANIVA,Government,VIC,Grampians,Small rural towns,Small,4.0,3.0,5.0,5.0,5.0
2025,Kanwal Gardens Care Community | DPG Services Pty Ltd,Kanwal Gardens Care Community,DPG Services Pty Ltd,KANWAL,Private for Profit,NSW,Central Coast,Metropolitan,Large,3.0,4.0,4.0,3.0,1.0
2025,Kanwal Springs Care Community | DPG Services Pty Ltd,Kanwal Springs Care Community,DPG Services Pty Ltd,KANWAL,Private for Profit,NSW,Central Coast,Metropolitan,Large,,,,,
2025,Kapunda Homes | Barossa Hills Fleurieu Local Health Network Incorporated,Kapunda Homes,Barossa Hills Fleurieu Local Health Network Incorporated,KAPUNDA,Government,SA,"Yorke, Lower North & Barossa",Small rural towns,Small,4.0,3.0,5.0,5.0,4.0
2025,Kara Court Nursing Home | East Wimmera Health Service,Kara Court Nursing Home,East Wimmera Health Service,ST ARNAUD,Government,VIC,Grampians,Small rural towns,Small,4.0,4.0,5.0,5.0,3.0
2025,Kara House | Yorke and Northern Local Health Network Incorporated,Kara House,Yorke and Northern Local Health Network Incorporated,CLARE,Government,SA,"Yorke, Lower North & Barossa",Small rural towns,Small,4.0,3.0,5.0,4.0,4.0
2025,Karana | Yarrawonga Health,Karana,Yarrawonga Health,YARRAWONGA,Government,VIC,Hume,Medium rural towns,Small,4.0,3.0,4.0,5.0,4.0
2025,Kardinia Parkside Care Community | DPG Services Pty Ltd,Kardinia Parkside Care Community,DPG Services Pty Ltd,GEELONG,Private for Profit,VIC,Barwon-South Western,Metropolitan,Medium,4.0,4.0,4.0,3.0,3.0
2025,Karingal Gardens | Bushland Health Group Limited,Karingal Gardens,Bushland Health Group Limited,TAREE,Not for Profit,NSW,Mid North Coast,Large rural towns,Medium,4.0,4.0,5.0,4.0,3.0
2025,"Karingal Green | Karingal Green Health, Aged and Community Care (WA) Pty Ltd",Karingal Green,"Karingal Green Health, Aged and Community Care (WA) Pty Ltd",HIGH WYCOMBE,Private for Profit,WA,Metropolitan East,Metropolitan,Large,3.0,3.0,4.0,2.0,3.0
2025,Karingal Nursing Home | Queensland Health,Karingal Nursing Home,Queensland Health,DALBY,Government,QLD,Darling Downs,Medium rural towns,Medium,4.0,3.0,5.0,4.0,3.0
2025,Karingal Seymour | Seymour Elderly Citizens Hostel Inc,Karingal Seymour,Seymour Elderly Citizens Hostel Inc,SEYMOUR,Not for Profit,VIC,Hume,Medium rural towns,Small,4.0,4.0,4.0,3.0,4.0
2025,Karinya | NCN Health,Karinya,NCN Health,NUMURKAH,Government,VIC,Hume,Small rural towns,Small,4.0,3.0,5.0,4.0,4.0
2025,Karinya Residential Care | Narrogin Cottage Homes Inc,Karinya Residential Care,Narrogin Cottage Homes Inc,NARROGIN,Not for Profit,WA,Wheatbelt,Small rural towns,Small,4.0,3.0,3.0,5.0,5.0
2025,Karlarra House | Western Australian Government,Karlarra House,Western Australian Government,SOUTH HEDLAND,Government,WA,Pilbara,Remote communities,Small,3.0,2.0,4.0,4.0,3.0
2025,Karri and Tuart Lodge | Air Force Association (Western Australian Division) Incorporated,Karri and Tuart Lodge,Air Force Association (Western Australian Division) Incorporated,MERRIWA,Not for Profit,WA,Metropolitan North,Metropolitan,Large,4.0,3.0,5.0,4.0,3.0
2025,Katherine Hostel | Australian Regional and Remote Community Services Limited,Katherine Hostel,Australian Regional and Remote Community Services Limited,KATHERINE,Not for Profit,NT,Katherine,Remote communities,Small,4.0,2.0,4.0,5.0,4.0
2025,Katoomba Views Care Community | DPG Services Pty Ltd,Katoomba Views Care Community,DPG Services Pty Ltd,KATOOMBA,Private for Profit,NSW,Nepean,Metropolitan,Medium,3.0,3.0,4.0,3.0,4.0
2025,Kawana Waters Care Community | DPG Services Pty Ltd,Kawana Waters Care Community,DPG Services Pty Ltd,BIRTINYA,Private for Profit,QLD,Sunshine Coast,Metropolitan,Large,4.0,3.0,5.0,3.0,4.0
2025,Keilor East Manor Care Community | DPG Services Pty Ltd,Keilor East Manor Care Community,DPG Services Pty Ltd,KEILOR EAST,Private for Profit,VIC,Western Metro,Metropolitan,Medium,3.0,2.0,4.0,3.0,3.0
2025,Keith and District Healthcare | Limestone Coast Local Health Network Incorporated,Keith and District Healthcare,Limestone Coast Local Health Network Incorporated,KEITH,Government,SA,South East,Small rural towns,Small,5.0,5.0,4.0,5.0,5.0
2025,Kellock Lodge | Kellock Lodge Alexandra Inc,Kellock Lodge,Kellock Lodge Alexandra Inc,ALEXANDRA,Not for Profit,VIC,Hume,Small rural towns,Small,3.0,3.0,4.0,3.0,4.0
2025,Kensington Grange | Wickro Pty Ltd,Kensington Grange,Wickro Pty Ltd,LEOPOLD,Private for Profit,VIC,Barwon-South Western,Metropolitan,Medium,3.0,4.0,4.0,2.0,3.0
2025,Kensington Park Nursing Home | Fresh Fields Aged Care Pty Ltd,Kensington Park Nursing Home,Fresh Fields Aged Care Pty Ltd,KENSINGTON,Private for Profit,WA,Metropolitan South East,Metropolitan,Small,4.0,3.0,5.0,3.0,4.0
2025,Kerrisdale Gardens | Good Shepherd Lodge Ltd,Kerrisdale Gardens,Good Shepherd Lodge Ltd,BEACONSFIELD,Not for Profit,QLD,Mackay,Regional centres,Medium,4.0,3.0,5.0,2.0,4.0
2025,Kew Gardens Aged Care | Australian Aged Care Group Pty Ltd,Kew Gardens Aged Care,Australian Aged Care Group Pty Ltd,KEW,Private for Profit,VIC,Eastern Metro,Metropolitan,Medium,4.0,3.0,4.0,5.0,3.0
2025,Kew Grove Care Community | DPG Services Pty Ltd,Kew Grove Care Community,DPG Services Pty Ltd,KEW,Private for Profit,VIC,Eastern Metro,Metropolitan,Small,,3.0,,3.0,3.0
2025,Kewarra Beach Aged Care | Kewarra Lifestyles Pty Ltd,Kewarra Beach Aged Care,Kewarra Lifestyles Pty Ltd,KEWARRA BEACH,Private for Profit,QLD,Far North,Regional centres,Medium,4.0,4.0,5.0,2.0,4.0
2025,Killara Gardens Aged Care | Pathways Aged Care Pty Limited,Killara Gardens Aged Care,Pathways Aged Care Pty Limited,KILLARA,Private for Profit,NSW,Northern Sydney,Metropolitan,Medium,4.0,4.0,5.0,3.0,5.0
